City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
263,lepsy,46.235,78.9456,15.67,35,0,2.83,KZ,1726372458
264,minas de matahambre,22.5887,-83.9447,25.97,89,33,1.62,CU,1726372459
265,kyabe,9.4515,18.9449,23.0,94,100,1.57,TD,1726372460
266,kailua-kona,19.6406,-155.9956,26.1,89,48,0.89,US,1726372461
267,saint-philippe,-21.3585,55.7679,19.08,73,55,6.31,RE,1726372462
268,dengzhou,37.8086,120.7508,20.91,66,6,4.97,CN,1726372463
269,nagqu,31.5,92.0,12.75,49,13,3.29,CN,1726372464
270,vernon,50.2581,-119.2691,14.74,73,93,1.03,CA,1726372465
271,panjab,34.388,67.0233,10.55,16,0,1.77,AF,1726372467
272,ouesso,1.6136,16.0517,21.19,98,100,0.79,CG,1726372468
273,shimoda,34.6667,138.95,29.57,68,64,4.68,JP,1726372469
274,sandnessjoen,66.0217,12.6316,10.69,66,93,9.64,NO,1726372470
275,ust-nera,64.5667,143.2,6.35,72,89,3.23,RU,1726372471
276,dedovichi,57.5517,29.9502,12.07,71,11,2.67,RU,1726372472
277,ringkobing,56.0901,8.244,9.99,87,100,2.06,DK,1726372473
278,guarapari,-20.6667,-40.4975,20.4,88,2,5.7,BR,1726372474
279,port alfred,-33.5906,26.891,15.66,93,92,1.03,ZA,1726372475
280,oranjemund,-28.55,16.4333,13.73,76,87,5.51,NA,1726372477
281,shenjiamen,29.9576,122.298,27.97,89,100,9.33,CN,1726372478
282,luderitz,-26.6481,15.1594,10.82,75,0,6.37,NA,1726372479
283,attapeu,14.8,106.8333,25.79,96,100,1.14,LA,1726372480
284,utrik,11.2278,169.8474,28.46,80,100,8.13,MH,1726372481
285,terrace,54.5163,-128.6035,13.95,88,75,3.09,CA,1726372482
286,ceerigaabo,10.6162,47.368,18.99,57,82,7.8,SO,1726372485
287,yeppoon,-23.1333,150.7333,22.05,54,0,5.22,AU,1726372486
288,alaghsas,17.0187,8.0168,31.95,40,12,1.42,NE,1726372487
289,swift current,50.2834,-107.8014,13.45,54,0,3.6,CA,1726372488
290,sefrou,33.8319,-4.828,19.53,64,0,2.06,MA,1726372489
291,kruisfontein,-34.0033,24.7314,11.83,94,2,2.95,ZA,1726372490
292,xinpu,34.5997,119.1594,22.71,74,96,6.07,CN,1726372491
293,nuuk,64.1835,-51.7216,3.34,100,100,2.57,GL,1726372492
294,lekki,6.3607,4.8333,23.47,96,100,0.9,NG,1726372493
295,bonthe,7.5264,-12.505,24.63,90,90,1.9,SL,1726372496
296,saint-francois,46.4154,3.9054,2.69,100,0,1.03,FR,1726372497
297,riachao,-7.3619,-46.6172,25.51,29,40,2.56,BR,1726372498
298,belmonte,-15.8631,-38.8828,22.27,89,22,2.51,BR,1726372499
299,essaouira,31.5125,-9.77,18.72,100,0,4.12,MA,1726372500
300,sogndal,61.2283,7.1003,10.21,87,100,2.57,NO,1726372501
301,hammerfest,70.6634,23.6821,6.25,100,62,2.06,NO,1726372502
302,catabola,-12.15,17.2833,18.84,48,60,0.22,AO,1726372504
303,magadan,59.5667,150.8,8.34,72,74,2.46,RU,1726372505
304,inirida,3.8653,-67.9239,24.0,88,33,0.7,CO,1726372506
305,adrar,20.5022,-10.0711,29.54,51,100,3.53,MR,1726372507
306,lompoc,34.6391,-120.4579,15.29,88,100,3.6,US,1726372354
307,ilulissat,69.2167,-51.1,-0.99,100,100,0.0,GL,1726372509
308,gadzhiyevo,69.2551,33.3362,9.79,83,100,1.11,RU,1726372510
309,el calafate,-50.3408,-72.2768,2.68,83,17,4.57,AR,1726372339
310,uturoa,-16.7333,-151.4333,26.64,76,0,3.65,PF,1726372513
311,uzgen,40.7699,73.3007,22.68,19,0,1.02,KG,1726372514
312,mount gambier,-37.8333,140.7667,12.24,52,7,4.58,AU,1726372515
313,sisimiut,66.9395,-53.6735,2.72,89,52,3.0,GL,1726372518
314,arno,60.1167,18.6333,10.02,78,1,4.07,SE,1726372519
315,rongelap,11.1635,166.8941,28.66,81,18,7.51,MH,1726372521
316,veraval,20.9,70.3667,27.47,74,94,4.78,IN,1726372522
317,glace bay,46.1969,-59.957,13.88,79,75,8.23,CA,1726372475
318,vilyuchinsk,52.9306,158.4028,16.15,51,82,5.63,RU,1726372524
319,acapulco de juarez,16.8634,-99.8901,25.49,84,100,1.19,MX,1726372525
320,taoudenni,22.6783,-3.9836,32.07,46,45,1.97,ML,1726372526
321,miyaly,48.8844,53.7836,19.45,43,42,5.59,KZ,1726372527
322,kodiak,57.79,-152.4072,15.73,82,100,1.54,US,1726372528
323,as salamiyah,35.0113,37.0532,21.62,78,9,6.33,SY,1726372529
324,kapa'a,22.0752,-159.319,28.18,69,0,7.72,US,1726372531
325,road town,18.4167,-64.6167,28.73,74,28,6.55,VG,1726372532
326,beihai,21.4833,109.1,29.59,70,100,0.78,CN,1726372533
327,cambridge,43.3601,-80.3127,18.39,94,0,0.0,CA,1726372401
328,mirpur sakro,24.5474,67.6277,28.08,63,84,8.09,PK,1726372535
329,mundri,-6.9558,111.71,33.35,35,31,1.91,ID,1726372536
330,jiuquan,39.7432,98.5174,19.04,50,12,2.28,CN,1726372525
331,qashar,53.3906,62.9297,14.64,69,0,3.95,KZ,1726372538
332,tharad,24.3961,71.6267,28.47,60,70,5.57,IN,1726372541
333,emerald,-23.5333,148.1667,27.41,29,0,4.46,AU,1726372533
334,sarangani,5.4033,125.4636,28.66,72,85,7.38,PH,1726372544
335,san francisco de la paz,14.9,-86.2,23.03,88,79,0.85,HN,1726372545
336,geraldton,-28.7667,114.6,26.23,24,0,10.29,AU,1726372546
337,crane,31.3974,-102.3501,27.14,44,100,4.36,US,1726372548
338,amursk,50.2261,136.8994,16.33,50,100,3.44,RU,1726372549
339,oswego,43.4501,-76.1497,18.14,99,0,1.89,US,1726372550
340,jamjamal,35.5365,44.8317,26.95,25,2,1.56,IQ,1726372551
341,fonte boa,-2.4959,-66.2662,26.56,65,32,1.14,BR,1726372552
342,hafar al-batin,28.4328,45.9708,26.32,19,0,2.06,SA,1726372553
343,villa angela,-27.5738,-60.7153,12.7,60,46,2.64,AR,1726372554
344,hotan,37.0997,79.9269,24.6,17,27,3.03,CN,1726372555
345,tazacorte,28.629,-17.9293,21.54,73,100,5.14,ES,1726372556
346,burutu,5.3509,5.5076,24.08,93,99,1.7,NG,1726372558
347,steinbach,50.1667,8.5667,8.73,88,0,2.57,DE,1726372559
